agent,mean_reward,reward_std,mean_selected_regions,mean_steps,mean_classification_loss
DQN,0.047115406457845656,0.10574306142961266,2.1690714285714288,3.2628928571428575,0.5663700621231192
DiscreteSAC,-0.32965439950593073,0.11757756793261263,2.73225,9.0845,0.5904273680868958
PPO,-0.011654731675641874,0.15873702961443534,1.5125357142857143,3.0724642857142856,0.5928587716851783
