seed,epoch,train_loss,validation_loss
85,1,1.2047315909971599,1.1092730504135753
85,2,1.1299118793088627,1.0844581861828648
85,3,1.102034864959374,1.0863769061343616
85,4,1.0839493305854548,1.0731117441210636
85,5,1.0695391142485189,1.0783029954100765
