agent,seed,phase,local_episode,cumulative_episode,reward,steps,selected_regions,classification_loss,optimization_loss
DQN,85,early,1,1,0.09000000000000001,1.0,1.0,0.2531490623950958,nan
DQN,85,early,2,2,-0.08888530731201173,5.0,4.0,0.4158387780189514,nan
DQN,85,early,3,3,0.09000000000000001,1.0,1.0,0.5744298696517944,nan
DQN,85,early,4,4,0.24483007907867432,3.0,3.0,0.8953214883804321,nan
DQN,85,early,5,5,-0.32455761551856993,7.0,3.0,0.3239413797855377,nan
DQN,85,early,6,6,0.09000000000000001,1.0,1.0,0.46632513403892517,nan
DQN,85,early,7,7,-0.20463554859161376,5.0,3.0,0.4313206374645233,nan
DQN,85,early,8,8,-0.20796822786331176,8.0,4.0,0.9188181161880493,nan
DQN,85,early,9,9,0.012043137550354008,3.0,2.0,0.8559656739234924,nan
DQN,85,early,10,10,0.03531450986862183,4.0,3.0,0.8424069285392761,nan
DQN,85,early,11,11,0.09000000000000001,1.0,1.0,0.3407227098941803,nan
DQN,85,early,12,12,0.09000000000000001,1.0,1.0,0.5908656716346741,nan
DQN,85,early,13,13,0.09000000000000001,1.0,1.0,0.28674453496932983,nan
DQN,85,early,14,14,0.09000000000000001,1.0,1.0,1.0943695306777954,nan
DQN,85,early,15,15,-0.3701861143112183,10.0,5.0,0.7188595533370972,nan
DQN,85,early,16,16,0.2638307285308838,3.0,3.0,1.1700736284255981,nan
DQN,85,early,17,17,0.16495795726776125,2.0,2.0,0.2868669629096985,nan
DQN,85,early,18,18,0.12929387569427492,2.0,2.0,1.1424684524536133,nan
DQN,85,early,19,19,-0.018286924362182613,3.0,2.0,1.0516242980957031,nan
DQN,85,early,20,20,-0.31067100763320926,10.0,6.0,0.5771476626396179,0.0037991813668567273
DQN,85,early,21,21,0.09000000000000001,1.0,1.0,0.8624332547187805,0.0007257101242430508
DQN,85,early,22,22,0.1940609383583069,2.0,2.0,0.8807855248451233,0.0008928653842303902
DQN,85,early,23,23,-0.3725943207740784,10.0,5.0,0.7742009162902832,0.000537737418198958
DQN,85,early,24,24,-0.0991893339157104,8.0,4.0,0.2045782506465912,0.00038424047306762077
DQN,85,early,25,25,-0.020061013698577865,6.0,4.0,0.7734541296958923,0.00028525346958000836
DQN,85,early,26,26,0.0413592028617859,2.0,2.0,0.7381806373596191,0.0001492507290095091
DQN,85,early,27,27,0.022776411771774308,2.0,2.0,0.38976067304611206,0.0001697625484666787
DQN,85,early,28,28,0.12771819710731508,2.0,2.0,0.4155057370662689,0.0001241233549080789
DQN,85,early,29,29,0.17629064798355104,2.0,2.0,0.5612993836402893,0.0001615932342247106
DQN,85,early,30,30,0.09000000000000001,1.0,1.0,0.19309619069099426,0.00014853253378532827
DQN,85,early,31,31,-0.07040702581405638,3.0,3.0,0.6196073889732361,0.00014806643108992526
DQN,85,early,32,32,-0.44668530225753783,10.0,4.0,0.4319155514240265,0.0002069053254672326
DQN,85,early,33,33,0.09000000000000001,1.0,1.0,1.1116153001785278,0.0002310366980964318
DQN,85,early,34,34,-0.11903649330139159,6.0,4.0,0.2414565086364746,0.00018440318793485252
DQN,85,early,35,35,0.06670273780822755,6.0,3.0,0.541096031665802,0.000172583631259234
DQN,85,early,36,36,0.09000000000000001,1.0,1.0,0.548747181892395,0.0001896084868349135
DQN,85,early,37,37,0.20196481227874757,2.0,2.0,0.8047109246253967,0.00017260603635804728
DQN,85,early,38,38,0.09000000000000001,1.0,1.0,0.889841616153717,0.00020252705144230276
DQN,85,early,39,39,0.09000000000000001,1.0,1.0,0.4366859793663025,0.00017697710427455604
DQN,85,early,40,40,0.007317460775375359,3.0,3.0,0.3294607698917389,0.00024195065877089897
DQN,85,early,41,41,0.09000000000000001,1.0,1.0,0.7676236033439636,0.0001094400868169032
DQN,85,early,42,42,-0.14693282544612885,5.0,4.0,0.3267940878868103,0.00018580698524601759
DQN,85,early,43,43,0.14269931793212892,2.0,2.0,0.14544346928596497,0.00021208542602835223
DQN,85,early,44,44,-0.1017631322145462,5.0,3.0,0.23494645953178406,0.0001729415846057236
DQN,85,early,45,45,0.09000000000000001,1.0,1.0,0.6158655285835266,0.00014079114771448076
DQN,85,early,46,46,-0.40795888543128966,9.0,4.0,0.6006922125816345,0.00016939144633296464
DQN,85,early,47,47,-0.19704012632369994,6.0,3.0,0.2293367236852646,0.00013183172147061364
DQN,85,early,48,48,0.011548299789428715,3.0,2.0,0.8029032945632935,0.00015337915586618087
DQN,85,early,49,49,-0.014141609668731667,4.0,3.0,0.2952532172203064,0.00013703045260626823
DQN,85,early,50,50,-0.0730045557022095,10.0,6.0,1.0838825702667236,9.93775302049471e-05
DQN,85,early,51,51,0.10490547299385072,2.0,2.0,0.4089517593383789,0.00010528251004870981
