agent,seed,phase,local_episode,cumulative_episode,reward,steps,selected_regions,classification_loss,optimization_loss
DiscreteSAC,55,final,1,3001,-0.578271496295929,10.0,2.0,0.10445807129144669,17660661.6515625
DiscreteSAC,55,final,2,3002,-0.3244405269622803,10.0,2.0,0.7379655241966248,202378.54970703126
DiscreteSAC,55,final,3,3003,-0.49355177879333495,10.0,2.0,0.6933854818344116,551327.2615234375
DiscreteSAC,55,final,4,3004,-0.5315395474433899,10.0,2.0,0.7187336683273315,1199743.6533203125
DiscreteSAC,55,final,5,3005,-0.5832883298397065,10.0,2.0,0.49320799112319946,1751092.089453125
DiscreteSAC,55,final,6,3006,-0.5757571935653687,10.0,2.0,1.0087628364562988,9132856.517529298
DiscreteSAC,55,final,7,3007,-0.48949347734451293,10.0,2.0,0.7767993211746216,907016.0692382812
DiscreteSAC,55,final,8,3008,-0.4630711555480957,10.0,2.0,0.8183716535568237,15613063.480957031
DiscreteSAC,55,final,9,3009,-0.6197222352027894,10.0,2.0,0.6195961236953735,341826.1970703125
DiscreteSAC,55,final,10,3010,-0.454859185218811,10.0,2.0,0.5264806151390076,12097127.408300782
DiscreteSAC,55,final,11,3011,-0.5493195533752442,10.0,2.0,0.6586471199989319,510392.4102539063
DiscreteSAC,55,final,12,3012,-0.6180349171161652,10.0,2.0,0.4548371732234955,5201054.908691406
DiscreteSAC,55,final,13,3013,-0.4552399396896362,10.0,2.0,1.023672342300415,518138.85673828126
DiscreteSAC,55,final,14,3014,-0.5650231719017029,10.0,2.0,0.456497460603714,88064.64794921875
DiscreteSAC,55,final,15,3015,-0.5532385587692261,10.0,2.0,0.7863095998764038,4983748.235839844
DiscreteSAC,55,final,16,3016,-0.6271904587745668,10.0,2.0,0.6081749796867371,184642.82290039063
DiscreteSAC,55,final,17,3017,-0.5741739749908448,10.0,2.0,0.7482152581214905,1051375.72265625
DiscreteSAC,55,final,18,3018,-0.5969568967819214,10.0,2.0,0.28716692328453064,234555.16669921874
DiscreteSAC,55,final,19,3019,-0.5655330896377564,10.0,2.0,1.1886236667633057,725375.2171875
DiscreteSAC,55,final,20,3020,-0.6433137089014055,10.0,2.0,0.34190934896469116,11214211.06328125
DiscreteSAC,55,final,21,3021,-0.5232891321182251,10.0,2.0,1.0830285549163818,318509.8837890625
DiscreteSAC,55,final,22,3022,-0.6092194199562073,10.0,2.0,0.20043312013149261,10379941.885351563
DiscreteSAC,55,final,23,3023,-0.6290897682309152,10.0,2.0,0.18728995323181152,271590.4090820312
DiscreteSAC,55,final,24,3024,-0.5621312737464905,10.0,2.0,0.922949492931366,4840697.920605469
DiscreteSAC,55,final,25,3025,-0.5711869478225708,10.0,2.0,0.6336869597434998,923417.1870117188
DiscreteSAC,55,final,26,3026,-0.5374574542045594,10.0,2.0,0.7698944807052612,4989991.413427735
