agent,seed,phase,evaluation_episode,reward,steps,selected_regions,classification_loss,stopped
DiscreteSAC,35,mid,1,-0.5269967794418335,10,2,0.5262137055397034,False
DiscreteSAC,35,mid,2,-0.42836337089538573,10,2,0.8526400327682495,False
DiscreteSAC,35,mid,3,-0.4479198336601257,10,2,0.9287884831428528,False
DiscreteSAC,35,mid,4,-0.6042993545532227,10,2,0.4586969316005707,False
DiscreteSAC,35,mid,5,-0.38557510375976567,10,2,1.0451538562774658,False
DiscreteSAC,35,mid,6,-0.550398874282837,10,2,0.5398870706558228,False
DiscreteSAC,35,mid,7,-0.45776604413986205,10,2,0.5774303674697876,False
DiscreteSAC,35,mid,8,-0.4917929649353027,10,2,0.6666635870933533,False
DiscreteSAC,35,mid,9,-0.6349123597145082,10,2,0.6057467460632324,False
DiscreteSAC,35,mid,10,-0.5364704728126526,10,3,0.8338108658790588,False
DiscreteSAC,35,mid,11,-0.3921621918678284,10,2,0.6515427827835083,False
DiscreteSAC,35,mid,12,-0.4743302047252655,10,2,0.4128536283969879,False
DiscreteSAC,35,mid,13,-0.6162938356399537,10,2,0.6445322036743164,False
DiscreteSAC,35,mid,14,-0.6002671003341675,10,2,0.30969372391700745,False
DiscreteSAC,35,mid,15,-0.6218047022819521,10,2,0.9644191861152649,False
DiscreteSAC,35,mid,16,-0.5272767126560212,10,2,0.40354666113853455,False
DiscreteSAC,35,mid,17,-0.6050185889005661,10,2,0.26747122406959534,False
DiscreteSAC,35,mid,18,-0.46925150156021117,10,2,0.6918219327926636,False
DiscreteSAC,35,mid,19,-0.4718589663505554,10,2,0.6812756657600403,False
DiscreteSAC,35,mid,20,-0.562621819972992,10,2,0.9920468926429749,False
DiscreteSAC,35,mid,21,-0.34990911483764653,10,2,0.5874369740486145,False
DiscreteSAC,35,mid,22,-0.4584576964378357,10,2,0.46328920125961304,False
DiscreteSAC,35,mid,23,-0.6276513367891313,10,2,0.21158729493618011,False
DiscreteSAC,35,mid,24,-0.4826488971710205,10,2,0.7775269746780396,False
DiscreteSAC,35,mid,25,-0.40019284486770634,10,2,0.743107259273529,False
DiscreteSAC,35,mid,26,-0.6322776705026628,10,2,0.22487783432006836,False
DiscreteSAC,35,mid,27,-0.4247343420982361,10,2,0.9040049910545349,False
DiscreteSAC,35,mid,28,-0.36137156486511235,10,2,0.9642313718795776,False
DiscreteSAC,35,mid,29,-0.5047127932310105,10,2,0.19451788067817688,False
DiscreteSAC,35,mid,30,-0.5497521936893464,10,2,0.3357958197593689,False
DiscreteSAC,35,mid,31,-0.4024672985076905,10,2,0.8828630447387695,False
DiscreteSAC,35,mid,32,-0.4614987552165985,10,2,0.14661653339862823,False
DiscreteSAC,35,mid,33,-0.6084508776664734,10,2,0.9686501622200012,False
DiscreteSAC,35,mid,34,-0.3538947105407715,10,3,0.656478226184845,False
DiscreteSAC,35,mid,35,-0.41956930160522465,10,2,0.8561941981315613,False
DiscreteSAC,35,mid,36,-0.4670982241630554,10,2,0.9399256110191345,False
