agent,seed,phase,evaluation_episode,reward,steps,selected_regions,classification_loss,stopped
DQN,5,mid,1,0.09000000000000001,1,1,0.46283677220344543,True
DQN,5,mid,2,0.09000000000000001,1,1,0.5211030840873718,True
DQN,5,mid,3,0.09000000000000001,1,1,0.10440202057361603,True
DQN,5,mid,4,0.2642262148857117,2,2,0.4174211025238037,True
DQN,5,mid,5,0.09000000000000001,1,1,0.44701480865478516,True
DQN,5,mid,6,0.21540500402450563,2,2,0.8362368941307068,True
DQN,5,mid,7,0.09000000000000001,1,1,0.5365694761276245,True
DQN,5,mid,8,0.09000000000000001,1,1,0.557371199131012,True
DQN,5,mid,9,0.14145076274871826,5,4,0.8426953554153442,True
DQN,5,mid,10,0.09000000000000001,1,1,0.4709206223487854,True
DQN,5,mid,11,-0.06252284169197082,2,2,0.4974484443664551,True
DQN,5,mid,12,0.09000000000000001,1,1,0.3094942271709442,True
DQN,5,mid,13,0.11607827425003053,2,2,0.5430695414543152,True
DQN,5,mid,14,0.22711326360702516,2,2,0.6929717659950256,True
DQN,5,mid,15,0.09000000000000001,1,1,0.4396800696849823,True
DQN,5,mid,16,0.09000000000000001,1,1,0.2858929932117462,True
DQN,5,mid,17,0.09000000000000001,1,1,0.08858614414930344,True
DQN,5,mid,18,0.09000000000000001,1,1,0.39852890372276306,True
DQN,5,mid,19,0.11304576873779298,2,2,0.5360021591186523,True
DQN,5,mid,20,0.09000000000000001,1,1,0.45515409111976624,True
DQN,5,mid,21,0.09000000000000001,1,1,0.25455763936042786,True
DQN,5,mid,22,0.19306755781173707,3,3,0.34905973076820374,True
DQN,5,mid,23,0.09000000000000001,1,1,0.2596222758293152,True
DQN,5,mid,24,0.06468369245529176,2,2,0.9314563870429993,True
DQN,5,mid,25,-0.023091120719909652,2,2,0.7468676567077637,True
DQN,5,mid,26,0.09000000000000001,1,1,0.108193539083004,True
DQN,5,mid,27,0.24196161508560182,2,2,0.85085529088974,True
DQN,5,mid,28,0.23540444850921632,2,2,0.7085962295532227,True
DQN,5,mid,29,0.09000000000000001,1,1,0.35489872097969055,True
